ph,Chloramines,Turbidity,Conductivity,Hardness,Potability
9.07,4.74,9.82,969.34,22.6,0
7.75,2.82,1.16,492.31,117.21,1
5.94,0.05,8.28,1319.26,27.25,0
8.98,5.37,9.81,46.75,466.95,0
6.69,3.28,1.02,107.33,220.75,1
5.92,5.6,9.41,15.84,35.45,0
7.58,0.39,4.82,135.32,198.77,1
5.93,0,8.39,33.06,384.63,0
5.82,4.11,6.46,1139.23,36.68,0
6.92,3.65,1.45,681.94,272.18,1
9.23,0.09,6.43,1684.1,559.25,0
8.46,0.93,3.83,409.58,288.56,1
7.32,3.79,3.81,691.13,183.92,1
5.4,0.05,7.92,1056.09,560.98,0
7.51,1.74,1.04,797.42,246.01,1
8.38,1.23,1.52,625.81,105.6,1
7.11,1.64,3.93,483.92,249,1
8.97,4.62,6.91,34.66,51.51,0
7.54,1.93,2.47,683.94,176.09,1
8.1,3.42,1.51,640.1,149.45,1
7.39,3.85,2.69,553.14,285.42,1
7.83,3.19,1.95,712.91,292.11,1
6.51,3.5,2.9,799.9,88.41,1
6.32,5.09,6.3,43.04,360.28,0
8.72,0.05,8,1106.04,372.61,0
6.69,3.52,0.42,531.3,181.88,1
6.93,3.59,1.25,496.12,99.55,1
8.96,0.08,7.84,880.13,41.03,0
7.06,2.68,4.69,107.95,240.39,1
9.06,0.02,9.94,29.69,43.43,0
8.47,0.54,3.7,397.87,292.56,1
9.18,0.01,6.81,1550.31,26.48,0
6.66,2.5,1.41,574.05,120.59,1
7.72,1.86,2.16,492.51,104.79,1
5.92,0.09,10,955.03,15.1,0
9.02,0,8.26,36.12,452.2,0
5.59,0.02,9.67,25.52,9.25,0
8.94,0.07,6.04,15.87,54.45,0
6.34,5.8,9.87,39.83,500.5,0
5.76,5.24,9.03,14.35,36.83,0
5.81,5.24,8.43,15.6,461.44,0
9.06,0.07,6.37,954.58,592.48,0
7.59,0.91,2.94,388.39,100.68,1
6.38,0.07,7.49,1380.48,13.61,0
5.71,5.94,7.99,26.98,28.91,0
5.45,5.79,7.56,34.31,390.99,0
6.57,3.21,1.76,554.43,103.41,1
5.44,4.72,9.63,21.39,594.37,0
7.74,3.37,0.49,562.75,290.97,1
5.8,0.03,8.61,1927.24,9.5,0
5.77,0.06,8.79,46.54,541.29,0
7.91,3.85,1.96,604.85,160.04,1
8.92,0.04,8.57,33.41,491.23,0
6.83,3.1,2.79,453.33,135.97,1
7.09,1.48,3.49,163.61,250.55,1
8.81,5.24,6.21,13.4,45.82,0
8.8,4.18,5.67,43.17,23.66,0
6.64,1.27,2.93,59.55,265.96,1
5.95,5.12,5.25,1757.22,6.13,0
6.95,3.7,0.15,303.43,214.23,1
7.49,1.29,3.41,576.91,98.37,1
8.71,0.07,5.9,35.31,0.37,0
5.35,5.41,5.51,13.19,473.63,0
9.4,0.07,6.07,13.39,16.5,0
7.32,1.85,0.61,417.19,95.27,1
8.23,0.39,2.94,552.44,227.17,1
6.72,0.51,3.49,328.13,210.53,1
7.48,3.66,2.17,365.17,78.79,1
8.03,2.76,1.68,137.35,147.68,1
5.45,0.04,7.79,810.51,333.09,0
7.91,1.8,2.02,673.09,221.74,1
7.17,3.11,3.19,707.1,120.49,1
7.25,2.75,1.54,753.82,190.35,1
5.22,5.5,8.65,1677,47.75,0
8.02,3.35,1.86,392.75,234.67,1
8.72,4.29,5.32,20.56,569.59,0
5.34,0.02,5.84,1189.88,305.06,0
6.95,1.03,0.73,172.2,90.16,1
5.19,5.09,7.84,1894.85,15.17,0
7.42,3.78,1.98,456.1,130.62,1
6.24,4.68,8.35,27.49,386.07,0
8.37,3.55,0.11,772.86,163.25,1
7.15,2.89,4.44,393.31,260.95,1
7.39,0.52,0.99,168.63,132.95,1
8.72,4.46,5.98,38.16,376.92,0
5.15,4.95,5.81,31.99,525.13,0
6.52,2.85,3.87,474.1,200.48,1
7.82,2,1.73,572.86,245.74,1
8.91,0.09,7.03,1538.16,459.01,0
8.63,5.05,6.75,835.25,33.36,0
8.2,0.15,0.62,783.57,187.94,1
6.6,0.24,3.04,351.08,240.81,1
8.06,0.82,4.35,610.14,161.86,1
6.64,2.21,0.93,454.53,171.52,1
6.12,4.57,6.47,20.51,356.79,0
9.45,4.22,8.05,806.33,416.9,0
9.29,5.69,5.9,929.33,33.76,0
6.54,2.06,0.87,167.89,233.02,1
5.26,5.02,7.39,1579.68,35.71,0
8.78,0.01,9.57,28.06,5.58,0
6.71,3.43,1.47,377.54,192.96,1
5.97,0.09,9.63,1162.86,39.07,0
5.27,0.01,7.48,1641.82,574.68,0
8.85,4.25,6.09,46.42,511.41,0
8.27,2.35,3.79,496.53,180.7,1
9.41,0,9.42,38.06,16.14,0
6.1,0.05,9.44,20.8,405.58,0
5.5,5.51,8.84,1945.66,18.39,0
6.1,0.04,8.32,1071,45.16,0
8.11,1.31,3.28,329.51,283.24,1
8.2,2.22,1.06,620.91,274.67,1
8.39,3.95,3.48,249.49,184.18,1
7.96,1.67,0.5,143.64,248.85,1
9.44,0.02,7.13,1928.72,44.82,0
5.46,5.73,9.53,1212.19,19.18,0
6.18,0.08,5.36,1327.34,1.3,0
7.22,0.95,0.07,225.63,204.36,1
8.8,5.73,6.51,926.88,8.51,0
5.19,4.42,7.83,897.65,325.34,0
9.49,4.46,7.61,30.62,41.41,0
5.18,5.44,7.32,17.67,445.43,0
7.71,3.87,2.73,122.79,237.16,1
9.05,5.08,8.48,1927.97,515.56,0
9.48,0.08,6.63,13.21,9.94,0
7.67,2.1,2.53,422.18,284.1,1
9.35,5.17,7.87,1208.15,353.96,0
6.63,2.05,4.94,648.46,168.59,1
6.96,3.09,1.6,487.25,216.5,1
8.61,0.03,8.5,1667.51,38.92,0
9.35,5.23,9.01,1760.02,48.75,0
8.68,5.86,7.56,1063.48,498.88,0
8.39,1.73,4.76,261,221.09,1
8.69,0,7.49,947.76,359.47,0
6.28,5.89,6.56,45.12,450.68,0
8.84,0.04,9.43,1750.25,472.53,0
8.94,0.02,8.65,33.37,523.37,0
8.62,5.66,8.81,1631.4,596.8,0
7.47,3.06,4.51,598.31,226.48,1
5.46,0.01,9.2,1855.61,0.65,0
7.52,3.13,1.2,269.38,152.81,1
9.47,0.08,5.49,35.63,16.41,0
9.27,5.59,7.93,26.36,34.25,0
5.52,5.04,7.35,957.31,37.58,0
6.17,0.03,7.28,1327.36,345.04,0
7.5,3.65,0.78,318.42,100.56,1
8.69,0.04,8.24,40.29,19.59,0
9.23,0.05,8.26,40.89,27.21,0
8.96,0.07,7.16,31.8,565.56,0
6.36,4.84,5.5,1422.31,48.92,0
7.04,1.05,0.14,230.23,143.94,1
6.17,0.05,6.4,858.28,543.66,0
5.43,5.11,8.88,39.44,30.86,0
6.61,1.9,0.48,258.47,129.95,1
6.57,0.45,1.8,72.86,79.77,1
7.19,1.68,1.75,778.1,202.47,1
7.82,1.55,0.19,292.95,71.15,1
7.81,0.69,1.55,293.66,292.4,1
5.54,0.02,9.92,1148.77,46.51,0
7.13,1.42,1.68,194.78,275.88,1
8,1.43,0.95,723.7,106.92,1
9.18,4.61,9.33,37.42,351.47,0
6.23,0.07,5.87,41.25,1.21,0
7.98,0.76,0.16,702.68,177.07,1
8.71,4.63,6.46,1393.67,14.95,0
9.22,0.04,7.16,20.5,4.26,0
6.64,3.02,0.63,400.84,70.46,1
6.18,5.35,9.56,1430.96,27.93,0
8.64,0.07,6.35,35.33,37.07,0
6.64,0.6,1.76,501.32,177.52,1
8.14,1.74,2.57,791.38,96.18,1
8.82,4.12,6.27,1296.67,364.82,0
5.21,0.02,8.48,1142.81,354.37,0
5.97,0.08,6.97,1603.32,444.48,0
5.6,5.56,7.05,1562.35,30.45,0
8.12,2.73,4.37,772.37,221.35,1
8,2.33,4.34,399.94,280.8,1
6.58,1.92,2.35,301.97,276.9,1
8.82,0,9,1076.86,17.22,0
7.18,1.79,2.56,726.6,170.81,1
5.21,0.01,5.84,823.82,319.43,0
6.81,2.72,3.22,574.24,250.21,1
5.42,4.68,8.35,1751.31,8.4,0
8.26,1.35,3.99,474.23,85.76,1
6.54,1.47,0.19,762.47,278.21,1
6.06,4.56,7.43,1127.56,40.54,0
8,1.46,3.58,797.37,151.37,1
9.33,0.01,8.53,1724.94,466.65,0
5.15,5.93,6.12,35.03,506.65,0
6.26,4.18,6.5,1728.87,46.11,0
5.55,0,8.94,1153.09,48.6,0
9.36,0.08,9.96,1389.62,366.05,0
7.26,3.89,3.65,230.77,276.35,1
7.02,2.02,0.3,287.82,83.23,1
6.7,1.85,3.25,327.11,116.46,1
8.64,4.29,5.56,1260.16,326.1,0
8.11,3.43,2.2,174.92,100.62,1
8.41,0.54,1.02,559.66,116.24,1
6.96,3.53,2.76,176.45,157.71,1
9.24,4.77,7.68,25.5,476.93,0
8.65,0,7.97,1554.9,34.06,0
7.05,3.72,3.08,711.42,202.67,1
8.24,3.2,1.7,207.85,247.77,1
6.69,2.86,0.76,786.33,206.31,1
6.31,0.03,6.35,48.09,29.34,0
5.53,0.01,6.39,33.85,358.55,0
7.48,0.98,2.12,98.68,216.8,1
7.92,0.21,0.93,401.03,83.97,1
6.75,0.17,4.51,226.93,189.11,1
5.38,0.04,9.86,45.92,11.92,0
8.78,0.04,6.24,18.72,568.57,0
6.74,2.38,4.16,348.14,224.49,1
6.84,2,3.87,312.74,95.17,1
7.79,2.22,2.05,744.09,204.39,1
5.73,0.07,5.65,32.2,46.5,0
9.02,4.53,7.23,14.09,20.72,0
8.47,1.7,1.64,413.28,244.31,1
7.73,2.55,4.88,160.79,164,1
6.31,0.04,5.98,40.94,323.77,0
5.84,5.81,9.64,44.38,32.61,0
6.06,5.59,6.35,31.32,22.7,0
7.95,1.59,0.48,479.99,94.5,1
7.71,1.54,3.4,86.11,197.54,1
6.86,0.87,2.52,700.51,142.08,1
6.9,2.16,0.26,136.6,195.35,1
9.3,5.63,7.67,1515.68,48.92,0
8.91,0.02,9.1,1224.16,47.17,0
8.81,5.02,9.53,29.19,452.2,0
6.53,1.08,2.51,722.87,149.4,1
8.39,1.05,3.59,617.58,139.12,1
8.18,3.65,1.87,295.38,180.58,1
9.21,0.06,6.66,34.86,25.14,0
6.64,0.51,0.57,191.96,299.24,1
6.73,1.28,3.47,574.39,145.89,1
9,5.83,9.53,25.1,505.59,0
7.38,3.24,3.85,97.85,231.25,1
8.39,2,4.72,558.26,205.75,1
8.81,5.57,8.14,1807.05,36.57,0
5.95,5.05,9.7,1266.03,425.93,0
8.82,0.02,7.35,39.35,1.27,0
7.54,0.31,4.71,399.5,282.54,1
8.3,3.91,4.94,529.03,166.71,1
6.11,4.97,9.09,33.78,52.47,0
9.03,0.08,7.45,1549.55,355.78,0
5.27,0.02,6.1,998.34,21.6,0
7.26,0.96,1.35,272.09,103.09,1
8.01,3.63,2.1,584.56,196.74,1
6.15,4.78,6.97,42.31,358.18,0
5.26,0.09,5.22,45.02,29.93,0
8.78,4.87,5.18,12.49,53.98,0
8.95,5.47,8.15,12.44,33.36,0
7.9,2.12,0.19,770.45,163.91,1
5.28,0.05,5.78,1450.57,372.24,0
9.43,5.33,7.74,23.52,13.65,0
7.84,3.63,4.99,449.66,67.57,1
7.12,2.81,3.9,125.13,282.42,1
8.31,1.55,1.83,388.45,182.83,1
8.28,0.96,2.03,138.29,226.34,1
9.09,0.04,7.56,934.14,3.99,0
6.74,0.72,4.4,361.7,159.03,1
8.85,0.07,8.25,42.31,529,0
7.72,1.49,2.23,537.63,263.98,1
8.22,3.51,0.75,577.02,155.06,1
5.35,0.04,5.51,1677.28,47.66,0
9.09,0.04,9.13,21.45,521.45,0
6.22,0.09,9.77,26.58,593.14,0
9.28,4.25,5.4,1865.42,427.19,0
7.51,0.95,2.85,287.4,237.74,1
7.55,1.33,0.91,664.51,128.91,1
5.54,0.07,5.86,39.46,386.29,0
5.53,4.36,8.77,1129.17,305.51,0
5.74,4.24,6.62,1167.1,424.92,0
7.55,2.2,3.05,332.12,167.79,1
8.45,1.83,4.16,221.64,201.14,1
8.31,3.36,4.64,165.62,146.87,1
9.25,4.42,5.25,31.82,37.65,0
8.13,0.8,2.13,470.56,76.35,1
5.84,0.02,6.67,1635.59,12.02,0
8.18,3.04,0.61,661.69,264.48,1
7.77,2.35,3.09,93.26,72.83,1
6.52,1.1,4.83,748.05,282.39,1
9.2,0.04,10,30.77,33.77,0
7.77,3.58,4.99,336.39,69.63,1
8.04,2.5,1.01,82.42,99.66,1
6.2,5.97,7.99,45.85,318.31,0
5.64,0.08,8.83,1811.23,26.1,0
7.05,1.67,0.12,566.96,101.41,1
6.35,5.63,8.72,47.62,37.93,0
9.28,0.07,6.98,14.01,2.7,0
9.11,0.09,8.42,25.3,21.79,0
9.34,0.08,7.45,927,447.34,0
7.13,1.22,1.53,338.32,184.92,1
7.9,0.77,1.67,375.01,185.91,1
7.76,2.94,1.22,591.99,176.09,1
7.83,2.46,2.17,197.9,226.22,1
7.77,0.16,2.44,346.28,152.42,1
9.19,0,10,1097.92,38.82,0
5.79,0.03,6.2,13.17,28.82,0
8.26,2.63,4.99,263.73,215.67,1
9.49,0.05,7.84,1639.95,22.61,0
8.78,0.04,6.49,44.89,319.47,0
6.08,4.99,9.85,1349.97,55.22,0
8.34,3.58,2.16,762.63,117.62,1
5.54,0.06,5.63,1484.72,431.31,0
6.63,0.92,4.45,383.29,109.09,1
7.7,1.43,3.04,112.48,219.19,1
8.43,2.09,4.92,110.24,238.17,1
6.84,2.19,3.46,293.59,72.57,1
6.57,0.66,3.54,688.18,183.7,1
5.59,0.05,6.29,15.26,58.15,0
5.01,0.01,9.31,1475.61,47.32,0
7.74,0.29,4.81,397.42,153.46,1
6.56,1.2,2.61,311.38,245.04,1
6.54,1.49,0.87,580.67,290.41,1
6.87,0.32,3.52,514.19,209.71,1
5.89,4.79,6.54,22.99,314.75,0
5.33,0,5.76,1189,25.38,0
5.76,4.98,7.59,17.88,586.95,0
7.2,0.64,4.55,504.59,235.52,1
6.34,0.08,6.41,48.15,8.58,0
5.25,0.07,5.2,1549.94,44.87,0
7.1,2.29,3.24,357.48,125.58,1
7.11,2.49,2.21,336.38,286.6,1
8.84,0.09,6.05,1644.64,54.52,0
8.63,4.9,8.93,838.27,362.07,0
5.06,4.46,5.28,1093.21,41.69,0
6.37,4.68,5.91,1162.86,389.5,0
6.2,0.09,8.98,849.9,310.88,0
8.02,0.42,2.66,649.01,185.19,1
8.05,1.23,3.64,474.65,266.3,1
8.88,0.06,5.24,36.28,514.57,0
5.89,4.71,5.95,39.82,20.41,0
7.15,1.57,0.07,132.75,77.95,1
8.29,3.51,4.35,491.33,193.95,1
8,1.87,1.33,91.53,184.16,1
8.45,0.61,2.87,346.13,144.85,1
5.14,4.71,8.98,43.46,47.64,0
8.9,0.04,5.76,1357.23,56.81,0
8.62,4.87,5.74,44.63,461.88,0
7.49,1.57,0.16,318.2,289.56,1
5.62,0.08,6.02,48.65,48.66,0
5.66,5.88,7.39,16.67,41.03,0
7.88,1.42,0.94,429.8,263.19,1
9.17,0.04,9.4,43.28,29.34,0
9.21,0.07,6.83,19.63,9.73,0
5.02,5.44,5.39,1586.01,379.39,0
8.49,2.8,4.77,733.43,160.78,1
8.09,1.7,2.26,669.98,65.82,1
7.82,2.97,2.62,744.02,176.44,1
6.94,1.38,0.93,742.88,295.07,1
7.85,2.69,2.52,83.23,234.28,1
8.91,0.03,6.85,43.8,584.69,0
7.21,1.11,3.56,93.23,112.43,1
7.77,3.05,4.18,707.9,293.95,1
6.7,0.53,0.49,239.81,158.48,1
5.87,0.03,5.49,1270.11,7.92,0
6.66,1.08,0.65,520.21,295.36,1
5.6,0.05,7.14,22.99,387.28,0
7.61,1.46,1.22,58.67,82.94,1
8.67,4.88,7.12,1641.89,31.38,0
6.13,0.05,9.66,20.9,316.74,0
6.78,1.32,3.88,542.6,188.51,1
7.86,2.97,4.24,665.47,131.69,1
8.76,5.32,9.11,35.29,504.74,0
9.25,4.46,9.92,1765.86,456.08,0
8.3,1.13,4.07,638.35,139.11,1
9.09,0.05,8.9,22.2,333.06,0
8.95,0.08,6.72,42.53,9.14,0
5.52,0.08,8.26,28.25,320.13,0
5.24,0.04,8.35,48.81,373.85,0
6.71,3.64,0.26,76.56,192.65,1
5.04,5.48,9.55,31.56,450.98,0
8.84,4.86,7.15,1649.64,41.13,0
6.67,1.21,4.36,160.37,189.36,1
6.64,1.73,1.04,539.24,138.61,1
9.24,4.25,8.45,1297.96,53.71,0
7.05,0.25,2.1,423.97,233.35,1
7.76,2.91,2.17,633.42,298.58,1
5.36,0.01,5.37,963.82,332.27,0
8.76,0.06,9.5,1246.07,424.05,0
6.28,0,6.8,42.49,598.86,0
6.3,0.08,6,19.51,539.3,0
8.95,0.06,5.81,1874.92,39.27,0
7.91,3.95,1,621.47,144.61,1
5.49,4.78,5.69,33.22,30.03,0
5.2,0.01,8.13,1072.76,58.88,0
8.43,0.29,0.58,740.6,158.47,1
5.6,4.68,9.57,33.66,19.9,0
9.08,0.08,9.76,16.65,30.71,0
8.24,0.81,4.38,227.49,138.35,1
8.01,3.4,0.42,797.86,269.87,1
6.2,4.34,8.61,15.1,12.65,0
8.16,2.51,1.26,160.48,169.3,1
7.07,1.69,3.12,574.2,216.48,1
8,2.24,0.52,727.23,272.59,1
5.94,0.05,9.11,1816.43,307.71,0
5.85,0.02,5.73,1515.68,26.59,0
8.16,1.91,3.69,440.29,227.58,1
8.62,5.88,5.62,1773.61,23.08,0
5.61,0.07,9.56,1923.67,561.14,0
9.23,5.17,5.34,39.66,429.52,0
8.96,0.07,7.42,1844.19,520.91,0
8.86,5.96,8.77,1342.33,355.22,0
5.92,0.08,6.05,1478.28,547.43,0
6.11,5.35,7.65,48.59,445.42,0
6.51,3.01,2.4,799.21,217.3,1
5.08,4.57,7.88,34.05,538.89,0
6.68,1.1,1.44,719.02,191.44,1
8.25,3.88,0.67,787.26,95.76,1
7.6,2.53,1.97,560.87,177.15,1
5.84,4.46,7.84,39.41,487.27,0
9.11,4.31,9.85,44.61,380.56,0
7.44,2.18,3.79,251.96,216.63,1
7.11,1.89,3.55,483.61,261.25,1
6.72,4,4.55,439.45,75.18,1
6.11,5.98,9.95,1090.33,48.2,0
8.67,0.05,6.7,1307.35,47.7,0
5.42,5.54,5.85,26.74,33.15,0
7.61,2.51,2.84,712.4,207.67,1
5.97,4.97,5.14,38.18,375.26,0
8.79,4.69,9.08,1008.74,572.62,0
7.25,1.64,1.87,424.75,235.2,1
8.47,2.18,3.95,334.06,185.06,1
7.84,3.33,3.84,608.21,65.43,1
7.75,2.8,2.44,516.65,187.25,1
8.9,4.28,9.97,1830.05,42.3,0
9.45,4.69,7.64,10.5,42.87,0
7.22,2.94,2.02,678.86,156.55,1
6.86,3.98,3.29,330.5,108.16,1
7.44,1.62,1.85,66.36,190.5,1
7.16,1.7,3.38,767.83,113.11,1
9.02,0.05,7.15,825.76,417.78,0
9.49,0.01,9.75,28.13,13.31,0
8.89,0.04,6.63,1994.8,596.8,0
5.72,4.53,8.13,22.66,377.65,0
7.98,3.38,0.75,748.03,206.72,1
6.94,2.11,1.16,788.65,71.96,1
8.39,1.12,2.37,83.83,282.44,1
8.21,3.75,3.99,359.98,76.37,1
8.63,4.91,8.34,1273.17,439.99,0
6.79,0.41,2.52,56.04,255.65,1
7.01,1.11,2.75,399.69,194.18,1
9.04,5.58,5.12,1591.21,5.88,0
6.61,1.64,0.49,634.01,236.74,1
6.68,1.9,2.71,335.08,291.77,1
6.76,0.61,4.67,238.93,254.67,1
6.23,0.08,6.23,26.86,511.25,0
7.02,3.75,3.44,131.11,123.31,1
6.86,0.36,2.05,581.27,177.73,1
8.76,0.03,6.25,30.72,348.09,0
7.42,2.65,2.76,506.31,109.1,1
7.19,0.22,2.8,153.91,182.94,1
7.77,2.82,0.07,600.73,90.01,1
8.98,0.01,7.51,47.51,569.58,0
7.81,0.99,0.36,216.74,270.44,1
8.14,2.91,3.24,552.42,143.8,1
