ph,Chloramines,Turbidity,Conductivity,Hardness,Potability
9.37,0.74,0.06,155.31,87.43,0
9.38,3.83,3.79,351.44,241.67,0
8.96,3.72,2.85,202.02,73.67,0
7.9,4.52,2.08,618.8,68.96,0
8.3,0.04,3.77,942.23,438.49,0
6.64,1.08,0.32,244.71,460.65,0
8.02,4.14,4.52,195.31,482.11,0
7.32,3.35,0.03,810.55,340.25,0
7.43,4.47,1.84,322.5,385.51,0
8.53,0.29,3.02,638.74,417.89,0
6.63,2.98,2.26,94.92,329.46,0
6.77,2.85,1.84,894.38,165.12,0
9.2,0.18,4.99,717.47,78.19,0
5.72,2.57,5.61,852.23,118.64,0
7.44,3.05,5.24,379.77,420.21,0
9.15,0.96,3.13,383.83,348.05,0
7.94,1.37,5.3,1047.73,227.9,0
7.69,3.2,5.53,942.57,14.7,0
6.5,2.34,2.46,766.26,133.1,1
6.87,4.29,1.7,827.74,364.45,0
8.91,1.71,0.59,149.44,256.19,0
7.74,1.33,2.87,1117.34,217.77,0
7.56,4.92,5.68,1007.78,156.84,0
5.9,4.56,3.37,779.92,303.47,0
5.56,0.14,4.01,1196.62,483.19,0
9.35,3.85,0.68,244.17,450.56,0
7.01,0.55,0.86,902.05,15.25,0
7.91,0.14,2.79,1252.99,240.48,0
5.82,1.37,5.71,423.71,164.73,0
8.23,1.35,2.16,49.42,255.3,0
9.23,4.1,5.26,963.28,303.11,0
7.8,3.55,0.72,38.87,100.01,0
6,4.91,3.7,1138.12,390.78,0
7.83,3.56,3.6,101.5,237.53,1
8.57,2.09,5.16,859.01,496,0
7.13,3.49,0.02,509.02,12.56,0
9.02,5,1.14,288.24,94.86,0
8.09,3.55,1.32,1170.79,344.81,0
9.1,3.81,5.7,977.73,347.59,0
7.99,4.69,0.92,462.36,291.09,0
6.03,0.57,0.22,390.87,485.98,0
6.74,3.52,3.21,964.74,207.66,0
6.31,4.25,3.17,1092.44,208.52,0
9.14,4.77,5.06,939.13,455.24,0
8.54,1.05,5.69,842.79,269.22,0
8.21,2.52,3.23,319.46,176.86,1
6.7,3.4,5.58,1113.06,359.47,0
6.24,1.24,4.35,982.07,309.84,0
8.53,3,1.59,686.94,153.21,0
7.4,1.29,5.57,679.72,148.96,0
6.4,1.67,4,752.85,197.81,0
7.97,2.21,2.48,1081.91,35.81,0
5.66,2.65,4.08,972.67,471.31,0
6.8,2.25,2.41,1117.43,91.51,0
7.37,2.47,0.69,674.25,96.91,1
6.09,1.49,4.31,823.3,323.52,0
9.44,0.79,4.94,1115.31,362.12,0
6.34,0.24,4.37,325.05,368.42,0
6.02,0.98,1.37,593.91,187.54,0
6.31,2.91,5.74,818.23,436.66,0
8.58,3.93,0.15,1192.24,272,0
7.2,0.85,2,50.11,219.29,1
7.76,0.54,1.56,299.97,405.19,0
5.58,3.75,0.29,327.75,121.78,0
5.64,1.53,2.43,444.8,430.09,0
7.28,4.76,3.74,387.87,269.41,0
8.77,3.57,5.3,779.48,450.03,0
9.04,1.63,5.94,1154.74,100.81,0
5.85,1.45,4.85,838.96,468.03,0
7.65,2.62,2.81,336.74,343.94,0
9.15,0.4,4.34,1126.97,309.16,0
7.05,0.59,5.06,832.7,211.03,0
8.82,0.88,2.79,308.08,478.16,0
6.03,3.87,4.71,489.32,221.96,0
9.24,2.57,2.9,1033.26,249.27,0
8.51,0.05,2.32,968.44,390.75,0
9.27,3.37,3.16,762.26,142.42,0
8.21,2.12,4.06,213.85,145.75,1
6.95,2.55,4.36,1050.18,387.65,0
9.25,1.07,2.14,420.58,64.29,0
6.6,2.76,3.43,1009.93,411.48,0
6.83,4.9,5.46,852.41,312.59,0
8.3,0.37,5.86,365.5,269.54,0
8.56,1.42,1.36,299.71,114.55,0
9.22,1.21,1.16,196.26,393.18,0
6.32,1.24,4.06,337.27,402.48,0
8.69,1.89,2.49,230.44,241.47,0
8.45,4.09,0.15,813.66,194.58,0
5.76,4.56,2.08,790.45,123.08,0
7.05,1.01,4.84,774.44,377.12,0
6.63,2.71,4.78,845.2,319.73,0
6.72,3.18,2.97,1064.78,103.32,0
9.43,2.61,2.84,1190.21,397.23,0
8.07,2.17,3.48,322.58,441.1,0
8.37,0.96,1.32,776.47,29.62,0
9.41,2.44,3.16,129.49,386.21,0
7.01,2.01,0.07,182.58,426.4,0
8.71,3.98,2.85,861.01,495.75,0
7.24,3.82,2.02,647.96,118.8,1
8.98,0.67,4.05,993.08,185.5,0
6.22,0.44,3.83,570.61,483.1,0
9.29,4.54,2.29,192.05,47.01,0
6.38,2.68,0.04,1137.51,261.85,0
6.8,4.29,1.51,135.27,253.37,0
8.52,0.29,3.8,269.99,303.27,0
7.08,2.63,0.43,381.76,165.4,1
7.93,2.7,0.65,1294.01,462.96,0
7.28,4.3,3.88,559.41,135.03,0
8.47,0.49,4.53,667.17,324.85,0
6.41,1.2,1.93,1007.51,247.96,0
5.73,2.03,2.94,838.25,133.34,0
6.7,4.33,5.67,1098.6,94.43,0
7.4,4.69,5.67,647.77,478.28,0
6.17,4.96,1.85,1264.67,280.65,0
6.92,4.8,4.86,1041.95,302.1,0
7.1,0.03,3.56,539.73,391.45,0
5.73,0.24,5.85,514.22,40.61,0
7.83,0.74,2.87,1210.45,356.88,0
9.04,1.74,4.65,899.21,82.57,0
6.11,4.15,4.61,819.22,370.24,0
7.89,4.46,2.98,992.44,70.66,0
8.16,0.93,4.77,742.26,416.25,0
7.18,3.1,1.57,232.14,340.51,0
8.3,4.59,0.73,435.4,192.95,0
7.14,2.32,2.55,738.59,179.42,1
7.52,0.52,5.66,53.07,74.47,0
5.53,2.29,3,585.44,452.03,0
8.27,1.88,3.81,989.87,59.26,0
8.15,2.89,3.74,238.58,236.04,1
5.65,2.19,0.8,111.99,118.26,0
6.97,0.09,2.34,1091.76,498.16,0
9.42,4.97,4.24,813.94,292.92,0
7.18,2.72,5.83,254.26,74.79,0
7.51,2.37,1.01,1054.01,333.78,0
9.14,4.77,2.46,865.82,495.8,0
8.37,0.78,0.57,454.33,302.52,0
7.83,0.95,1.45,507.77,228.69,1
8.69,4.04,2.26,227.98,146.64,0
8.96,1.3,3.24,1090.77,46.06,0
7.33,4,1.38,676.44,114.12,1
7.4,1.36,1.37,737.41,276.81,1
7.04,0.17,4.67,1152.03,376.89,0
9.37,2.59,5.78,50.1,438.97,0
8.29,0.98,1.94,114.99,396.86,0
5.83,3.79,4.13,235.21,62.73,0
8.95,3.21,1.55,68.15,386.73,0
7.42,4.62,5.57,865.86,290.8,0
5.78,3.91,4.04,835.03,234.55,0
7.7,0.9,4.82,297.72,286.38,1
7.17,4,0.3,219.75,4.04,0
9.01,3.21,3.59,215.02,33.87,0
6.32,3.34,3.17,1240.62,262.92,0
8.81,4.16,1.76,910.75,86.81,0
7.73,2.87,1.57,773.49,272.77,1
5.72,2.33,3.48,439.56,177.11,0
9.39,3.18,4.24,579.96,453.71,0
7.55,1.49,0.2,143.55,474.84,0
6.66,0.91,3.4,1297.65,489.89,0
7.38,3.08,1.02,988.96,449.47,0
8.93,1.17,0.84,819.25,492.95,0
6.72,0.4,3.74,776.46,353.07,0
6.27,0,1.87,670.48,480.27,0
6.02,3.04,2.65,356.93,320.9,0
6.69,1.81,2.16,317.52,404.61,0
8.62,3.76,3.89,727.91,65.95,0
7.39,1.88,2.82,119.16,341.3,0
6.41,2.43,5.78,124.58,465.55,0
6.16,2.04,2.11,742.23,270.02,0
6.83,3.25,4.44,1198.16,93.41,0
9.26,1.78,1.54,1191.13,263.44,0
6.87,4.82,3.05,43.75,353.47,0
9.45,4.68,3.32,166.39,384.89,0
7.44,4.24,1.97,770.51,261.85,0
6.22,4.6,2.83,1107.56,108.68,0
9.06,2.25,1.68,1242.15,463.34,0
7.34,2.68,0.04,1122.94,386.81,0
8.34,3.71,1.29,890.57,135.34,0
9.43,3.48,4.2,284.67,405.91,0
5.7,4.45,4.63,122.23,173.93,0
5.89,3.58,1.68,90.35,156.22,0
8.38,4.99,2.45,807.34,431.54,0
6.63,1.74,0.22,75.96,436.62,0
6.24,4.16,1.42,968.83,199.24,0
5.66,3.49,4.68,934.84,4.46,0
5.59,3.46,3.64,131.11,93.28,0
8.6,1.63,1.23,1181.41,454.65,0
6.04,3.93,1.54,692.85,449.37,0
7.37,4.5,4.9,1178.64,226.67,0
7.92,1.09,1.25,1175.04,152.06,0
7.21,3.13,2,280.23,151.37,1
5.61,1.96,3.99,513.33,448.6,0
8.63,4.95,3.37,200.98,162.37,0
5.54,2.39,2.77,1014.22,255.79,0
8.55,1.14,5.4,670.24,365.51,0
9.07,1.91,1.32,1209.59,104.74,0
7.23,3.27,4.45,294.43,126.92,1
7.64,0.38,0.95,904.23,179.03,0
7.41,3.02,3.69,1286.33,327.11,0
7.06,4.66,5.22,875.03,408.75,0
9.05,4.25,2.75,117.34,273.35,0
9.08,0.34,4.35,777.3,66.46,0
6.84,4.97,4.92,258.4,223.12,0
7.96,3.49,0.82,68.74,63.85,1
9.21,0.81,4.23,455.4,44.15,0
9.35,0.06,5.52,367.95,294.81,0
7.54,0.86,3.46,1031.74,478.11,0
7.31,4.19,1.12,504.57,418.81,0
6.61,0.11,0.76,960.86,387.24,0
9.34,1.17,1.56,50.62,363.53,0
6.07,3.79,0.62,48.81,448.56,0
7.82,2.93,3.08,67.23,376.42,0
6.63,3.91,0.42,308.59,313.44,0
6.62,3.73,1.34,504.96,182.34,1
7.12,0.25,2.64,801.96,50.47,0
9.5,4.46,2.84,1282.11,230.52,0
5.72,1.14,3.39,480.1,462.39,0
7.81,2.77,4.23,100.69,291.55,1
5.83,3.22,0.28,277.52,92.25,0
6.12,0.84,0.48,1170.27,324.51,0
7.26,4.88,0.37,918.21,232.73,0
7.54,2.44,2.54,1033.56,465.69,0
6.54,0.29,0.25,187.69,80.47,1
6.77,4.69,4.48,201.43,356.01,0
5.85,2.93,1.34,172.55,340.8,0
6.71,3.5,5.64,1118.6,491.77,0
9.37,2.63,2.92,296.66,282.46,0
9.28,4.17,2.68,846.8,435.79,0
6.84,0.17,4.68,685.53,12.36,0
7.78,1.34,4.28,721.38,61.45,1
9.14,2.35,3.64,278.2,172.97,0
5.52,0.38,5.61,836.76,309.66,0
8.74,3.53,2.53,84.74,224.54,0
9.29,1.97,4.85,1291.71,101.35,0
5.87,1.36,2.28,63.98,294.6,0
6.15,0.02,5.03,93.7,283.35,0
9.34,3.6,1.56,442.3,262.22,0
7.65,4.17,1.74,1086.16,45.28,0
5.56,1.98,4.07,356.63,463.51,0
6.53,2.82,1.28,629.36,296.13,1
7.3,1.14,1.37,52.83,132,1
8.27,3.11,1.83,130.18,343.71,0
8.43,0.06,4.07,802.12,158.95,0
9.48,2.44,5.34,276.84,252.93,0
6.65,3.22,4.05,911.7,170.57,0
7.65,4.59,4.97,1027.45,440.2,0
7.63,1.91,3.26,1109.92,496.99,0
7.12,3.83,0.41,199.93,80.59,1
6.18,2.99,0.6,608.5,11.79,0
9.41,4.64,3.33,1232.79,109.66,0
8.91,1.99,1.97,1010.55,294.98,0
7.49,1.6,1.32,178.54,86.98,1
7.91,4.44,2.8,668.18,405.74,0
6.41,0.25,4,1201.42,204.34,0
7.68,0.68,2.31,588.85,305.27,0
8.28,0.41,4.82,1093.52,227.81,0
7.56,4.22,4.43,659.72,451.66,0
9.46,0.05,4.41,165.65,17.57,0
7.95,4.31,5.91,217.78,364.65,0
6.98,2.26,1.77,89.28,326.09,0
8.59,0.02,3.87,278.05,324.76,0
6.18,2.01,5.13,1164.89,206.99,0
7.04,0.93,3.48,855.75,7.84,0
6.89,3.12,4.74,968.35,344.62,0
7.23,3.4,2.49,819.51,414.74,0
8.63,2.44,3.54,520.9,42.62,0
7.44,0.2,0.33,305.41,220.81,1
8.68,3.28,5.91,1205.53,81.3,0
7.81,4.21,4.8,683.83,305.47,0
6.87,3.6,5.21,641,392.8,0
8.74,4.15,4.17,1295.05,333.35,0
6.45,1,1.12,517.59,159.03,0
6.4,4.44,0.19,1114.74,69.87,0
7.52,1.61,5.19,1125.18,397.13,0
6.54,0.07,2.38,325.49,161.96,0
5.54,4.22,1.58,150.45,11.07,0
8.09,4.71,3.37,1269.04,285.71,0
7.54,3.28,2.53,570.89,123.34,1
7.28,1.16,3.91,32.82,420.6,0
9.37,1.26,2.9,663.75,71.63,0
7.78,2.33,4.18,816.51,217.4,0
8.95,4.49,5.12,1015.63,126.57,0
6.06,0.75,1.17,1227.54,344.8,0
7.78,4.13,1.98,1192.27,274.27,0
8.97,1.46,2.62,1223.97,395.49,0
7.83,4.04,5.77,70.8,229.31,0
8.37,4.6,2.19,933.95,2.4,0
6.99,2.14,2.29,316.84,107.6,1
5.87,1.83,3.92,268.19,499.58,0
7.33,4.01,2.52,1046.4,202.67,0
7.08,2.65,5.71,559.75,310.12,0
8.97,3.42,5.37,1194.08,452.47,0
6.48,3.11,3.08,83.89,10.26,0
9.37,0.76,3.87,1048.77,329.8,0
9.33,4.22,0.35,203.78,144.19,0
6.49,0.98,4.17,254.25,139.62,0
6.89,4.66,4.24,636.24,112.43,0
9.08,1.25,2.16,532.4,411.36,0
9.37,3.67,1.32,647.44,186.47,0
7.27,1.42,5.49,1223.83,33.56,0
6.78,1.59,2.56,864.88,48.43,0
7.6,1.55,3.92,398.69,74.31,1
8.25,3.74,0.2,249.59,449.46,0
6.59,2.78,2.48,563.46,213.72,1
8.45,4.41,4.9,603.58,458.02,0
5.71,1.54,2.33,793.64,408.74,0
5.7,3.46,3.62,367.82,418.94,0
7.05,3.76,1.26,1004.74,143.42,0
6.91,0.76,2.5,155.04,135.66,1
6.76,2,5.57,741.78,280.03,0
7.46,2.41,3.4,821.89,208.96,0
6.78,1.78,5.41,292.68,254.53,0
6.27,1.61,5.41,1079.03,26.6,0
6.74,3.43,5.66,811.6,485.8,0
9.4,1.08,5.37,850.07,29.08,0
7.14,3.55,0.02,662.13,89.42,1
7.28,4.68,5.6,1185.18,339.1,0
7.81,2.83,0.82,911.29,77.75,0
9.43,3.06,0.24,514.93,53.43,0
6.47,0.34,0.33,333.03,76.81,0
8.23,4.32,2.09,120.25,30.96,0
8.36,1.43,3.72,240.01,125.66,1
7.93,3.08,2.41,1290.71,135.56,0
5.85,4.9,0.15,546.59,249.31,0
8.21,2.98,2.86,1171.33,219.36,0
5.76,3.62,2.65,246.62,236.86,0
7.88,2.23,4.54,570.21,308.02,0
8.46,0.3,1.68,1249.86,115.48,0
6.34,3.99,1.31,145.74,67.35,0
8.87,0.17,1.54,784.36,439.44,0
5.62,3.5,1.82,1197.35,316.97,0
8.88,0.11,3.59,1236.1,30.33,0
7.34,4.31,2.83,1104.43,480.53,0
6.37,0.79,2.02,1117.04,346.53,0
6.04,2.57,2.25,858.27,75.85,0
9.31,2.99,2.23,309.94,484.57,0
5.79,2.29,5.83,957.96,182.7,0
6.3,1.7,1.4,1272.55,492.26,0
6.89,2.34,4.91,697.94,51.64,0
7.98,1.56,4.25,361.09,79.98,1
7.68,2.19,0.03,758.31,328.71,0
6,1.79,5.96,907.08,11.07,0
6.66,2.83,4.54,294.52,9.34,0
6.46,1.19,4.09,943.37,395.99,0
6.35,4.94,2.43,776.04,83.89,0
7.14,2.5,3.33,807.68,459.39,0
8.32,0.97,1.52,418.6,212.95,1
6.37,2.39,0.21,227.19,436.83,0
6.97,4.33,5.02,821.78,208.88,0
7.06,0.11,5.38,774.52,265.12,0
9.41,3.4,0.97,459.28,158.26,0
9.32,2.74,4.72,405.78,329.04,0
8.7,0.85,4.45,471,159.1,0
6.47,4.09,1.07,652.15,111.59,0
5.77,1.84,2.53,1268.02,40.52,0
6.77,1.47,2.54,999.73,28.83,0
6.57,4.14,4.56,1111.71,152.99,0
7.52,3.19,5.03,672.17,368.24,0
8.61,4.49,0.57,698.18,102.81,0
8.93,3.15,3.38,289.49,149.61,0
8.88,3.7,4.57,945.73,452.59,0
6.94,4.18,4.72,565.41,319.58,0
8.25,0.27,0.89,972.91,459.86,0
6.75,3.88,3.15,549.5,455.61,0
5.74,3.07,5.15,167.82,31.71,0
8.31,0.35,1.91,249.78,477.5,0
5.54,2.54,2.55,1060.69,25.59,0
7.14,0.41,4.83,358.44,462.81,0
6.82,3.68,0.54,365.73,273.37,1
8.27,2.73,5.16,1210.3,266.59,0
8.56,4.77,1.87,865.2,356.63,0
6.72,0.92,0.01,175.17,439.61,0
8.75,3.03,1.4,212.35,308.5,0
6.68,1.06,0.54,375.91,212.7,1
7.29,3.07,0.55,784.37,55.94,0
8.41,3.61,4.16,986.09,394.6,0
8.27,3.61,1.28,378.61,64.15,1
9.45,4.08,5.61,1135.72,363.18,0
6.4,4.27,3.1,168.66,263.96,0
8.15,0.39,2.76,293.65,192.92,1
7.94,1.72,2.61,1262.49,306.49,0
9.16,3.44,4.16,201.13,386.18,0
6.13,2.49,2.71,1157.9,470.57,0
8.51,0.95,0.77,924,132.35,0
7.77,2.76,5.28,122.82,473.57,0
6.6,2.04,2.57,644.31,480.47,0
7.4,1.95,0.44,689.1,406.82,0
6.84,4.05,3.18,1213.82,440.72,0
7.82,2.04,3.88,564.8,346.21,0
9.06,0.13,1.65,597.39,19.55,0
7.78,0.29,4.8,172.85,287.54,1
8.03,4.28,4.02,841.75,373.6,0
7.57,4.8,3.9,297.84,470.85,0
5.7,3.44,2.52,128.47,285.23,0
6.43,1.82,5.77,1296.09,397.1,0
7.47,4.69,1.65,372.43,352.52,0
6.74,3.31,3.47,209.14,140.4,1
6.23,4.22,1.85,918.35,77.36,0
7.52,3.83,4.47,1073.54,375.45,0
6.79,1.9,0.29,111.38,116.88,1
6.53,2.39,0.28,163.85,122.35,1
7.36,0.93,4.87,144.52,321.97,0
6.03,1.46,2.61,89.64,394.53,0
9.21,3.89,2.05,867.51,291.17,0
8.97,4.47,3.65,777.16,442.49,0
8.33,3.62,4.21,871.76,105.72,0
5.92,2.33,1.21,672.2,126.21,0
8.6,0.43,1.11,1068.23,318.48,0
8.73,0.28,5.75,724.27,414.68,0
8.57,1.87,3.54,1196.81,269.68,0
5.96,2.32,2.34,646.77,5.19,0
8.08,3.05,4.81,1034.14,338.47,0
8.84,0.03,3.15,547.35,406.79,0
7.81,4.95,1.45,582.73,138.27,0
8.09,1.82,1.24,1108.22,27.1,0
7.33,4.24,2.38,166.73,258.98,0
7.61,2.67,5.16,747.45,21.08,0
5.64,0.65,0.37,952.45,208.01,0
8.06,3.99,1.31,983.03,8.91,0
5.83,3.55,5.36,781.2,112.48,0
7.24,2.64,0.73,599.04,194.41,1
6.67,2.57,3.78,361.19,55.85,0
7.68,0.44,1.28,1184.97,57.08,0
6.03,3.28,3.64,499.63,413.53,0
8.27,4.56,2.3,1044.72,20.71,0
8.68,0.47,0.61,70.22,344.48,0
6.15,1.32,3.49,324.85,407.24,0
5.92,4.51,4.1,468.89,65.36,0
6.08,1.42,4.08,882.9,97.69,0
9.01,3.27,3.82,435.55,320.75,0
7.61,2.67,3,82.53,157.82,1
7.37,2.98,3.12,250.81,238.21,1
5.93,2.08,3.81,359.14,418,0
8.1,1.5,4.14,253.58,68.99,1
8.97,0.24,3.93,288.73,309.83,0
8.81,3.72,3.52,1006.58,471.2,0
8,3.73,0.94,553.28,28.73,0
5.8,3.35,1.26,544.58,30,0
5.95,3.22,1.56,1257.59,277.37,0
5.7,1.22,5.52,597.31,480.04,0
6.53,0.11,4.56,1208.13,110.24,0
6.04,4.04,3.32,409.81,165.4,0
6.54,2.46,1.51,538.8,49.32,0
7.04,1.53,0.67,533.28,181.12,1
9.27,0.51,5.39,723.52,22.17,0
7.94,0.31,5.36,771.99,194.55,0
8.84,1.74,0.66,345.12,277.74,0
8.34,4.02,4.78,1037.85,487.5,0
5.95,4.59,2.68,660.59,409.19,0
8.44,4.48,1.94,38.95,411.03,0
6.6,4.6,4.43,781,114.07,0
8.06,4.54,3.69,1043.54,43.62,0
6.86,2.64,4.68,348.09,301.54,0
9.49,1.1,0.45,78.1,260.57,0
6.55,3.99,1.91,1055.12,258.25,0
6.62,1.07,1.92,1269.87,54.5,0
9.22,1.34,1.98,127.24,246.94,0
5.6,1.17,3.01,1221.31,75.18,0
8.29,2.57,1.7,486.28,211.06,1
8.4,1.61,2.67,1225.63,31.08,0
8.85,0.77,2.21,854.03,428.45,0
9.4,2.27,4.41,1160.61,6.59,0
9.4,4.37,3.62,1028.01,469.66,0
5.76,2.85,3.92,65.56,431.45,0
8.79,4.39,1.26,113.11,376.3,0
8.09,0.98,1.95,697.7,491.28,0
8.09,0.83,0.13,194.62,26.91,0
6.01,2.88,0.65,615.51,320.8,0
8.1,2.32,1.59,1242.38,424.65,0
9.43,3.3,0.39,404.34,63.31,0
9.15,3.97,3.62,650.92,292.39,0
7.26,3.76,5.99,518.01,196.96,0
5.66,4.71,0.6,829.88,217.91,0
6.95,1.99,4.93,276.18,456.26,0
8.81,1.03,0.71,360.12,269.33,0
8.31,2.75,4.02,1120.64,46.63,0
7.34,0.55,3.86,1060.4,468.61,0
5.72,1.44,5.42,1032.27,92.61,0
7.21,1.04,0.68,1009.07,446.32,0
7.38,1.98,1.89,613.49,485.46,0
9.21,0.56,0.54,955.69,438.92,0
8.06,0.16,2.44,521.75,338.57,0
6.75,3.28,5.47,157.9,371.78,0
7.6,3.05,4.69,529.59,349.93,0
5.76,3.54,4.34,231.5,230.26,0
9.39,3.3,3.2,526.38,137.21,0
6.94,0.57,5.3,407.73,142.5,0
7.41,1.46,2.7,790.93,365.58,0
6.92,0.65,0.9,489.16,313.02,0
8.23,4.21,5.03,926.1,292.44,0
8.15,3.73,1.68,680.43,326.3,0
8.36,1.01,0.32,1197.76,387.39,0
6.57,1.71,0.76,145.6,374.17,0
6.76,4.83,3.65,903.39,52.7,0
6,2.97,3.64,883.94,181.52,0
8.12,4.01,1.56,1237.3,131.98,0
5.66,1.32,4.36,501.87,269.12,0
7.89,1.05,4.64,417.91,30.71,0
8.98,3.92,5.52,248.94,381.23,0
9.06,3.43,3.51,366.92,53.26,0
7.3,3.4,4.68,667.4,135.7,1
7.34,2.76,4.52,1093.9,391.37,0
5.81,2.82,1.55,391.04,25.78,0
8.18,3.68,1.86,230.33,330.1,0
8.79,1.35,2.87,375.6,462.24,0
6.48,1.76,0.11,158.18,308.82,0
7.19,4.36,1.78,1206.9,356.33,0
8.86,1.54,2.84,1138.23,396.13,0
9.01,2.73,0.65,421.78,111.12,0
6.47,3.51,0.76,343.67,290.48,0
7.7,5,2.78,1179.85,154.53,0
6.27,2.18,4.39,32.25,124.75,0
5.91,2.14,5,792.73,96.23,0
9.14,4.21,3.28,1193.32,292.72,0
8.78,4.03,2.85,675.87,397.27,0
8.54,3.66,2.31,33.77,437.94,0
5.7,2.32,1.16,307.97,214.29,0
8.87,1.62,0.88,1201.5,186.45,0
7.25,3.04,4.75,51.62,343.65,0
6.87,4.38,2.79,531.37,390.18,0
7.69,4.42,4.74,1032.98,126.66,0
